DATA,rotor_root,rotor_mean,rotor_tip,stator_root,stator_mean,stator_tip
z,8.0,8.0,8.0,3.0,3.0,3.0
hub,0.025,0.025,0.025,0.05,0.05,0.05
ar,1.0,1.0,1.0,0.5,0.5,0.5
df,0.6,0.5,0.4,0.6,0.5,0.4
dh,0.8877376644465697,0.8410214463203252,0.8047579583906271,0.9541296782579692,0.9284766908852593,0.9047875023451759
sigma,0.27246513658483695,0.4579587693787163,0.8368829872899703,0.2701476394035706,0.4333849241446339,0.6986233465003387
space,0.039269908169872414,0.050059507013794045,0.05890486225480862,0.10471975511965977,0.1334920187034508,0.15707963267948966
chord,0.010699680893178291,0.02292519022774234,0.049296477089708454,0.028289794644496064,0.05785342839970907,0.10973949864958904
deflection,14.690138927953441,16.858398767738283,18.064411600003513,17.421187927343887,21.80140948635181,25.205321610133897
incidence,0.016355708306235846,0.0018901120972732155,-0.027660038209999387,0.5515576447726191,1.0983512792602619,2.04327220604241
deviation,-0.02733850483145922,0.007242281536225766,0.07788350642232092,0.5339556210597589,0.6388825288217137,0.7742178854232564
blade_angle_i,32.09497114699109,38.65791814199282,43.29739324834741,16.86963028257127,20.70305820709155,23.162049404091487
blade_angle_e,17.448526432175345,21.794167204815587,25.127438103711576,-0.5339556210597589,-0.6388825288217137,-0.7742178854232564
camber,14.646444714815747,16.863750937177237,18.169955144635836,17.403585903631026,21.341940735913266,23.936267289514742
blade_angle_e2,0,0,0,0,0,0
camber2,0,0,0,0,0,0
stagger,24.77174878958322,30.226042673404205,34.212415676029494,8.167837330755756,10.032087839134919,11.193915759334116
aoa,7.339578065714107,8.43376558068589,9.057317534107916,9.253350596588131,11.769321647216893,14.01140585079978
xcr,0.5,0.5,0.5,0.5,0.5,0.5
ycr,0.4,0.4,0.4,0.4,0.4,0.4
xc,0.5000000000000001,0.5,0.5,0.5000000000000001,0.5,0.5000000000000001
yc,0.025702986738559582,0.029647132478381112,0.031981028510446756,0.030610705757762122,0.037685451962984305,0.04239506589047455
